contrast,.value,.lower,.upper,.width,.point,.interval
explicitIgnorance - factH,0.23418864208461154,-0.26545802152661185,0.7301835624438875,0.95,mean,hdi
explicitIgnorance - factL,0.6635370963441048,0.21736682959732093,1.157953392148106,0.95,mean,hdi
factL - factH,-0.4293484542594933,-1.0815847129292322,0.23142961687093744,0.95,mean,hdi
