contrast,.value,.lower,.upper,.width,.point,.interval
explicitIgnorance - factH,0.46734802902623596,0.045682605630139685,0.8936980182947503,0.95,mean,hdi
explicitIgnorance - factL,1.3935545777418328,0.9292182676502021,1.8520924422428138,0.95,mean,hdi
factL - factH,-0.9262065487155967,-1.442959186232066,-0.38679330301582976,0.95,mean,hdi
