contrast,.value,.lower,.upper,.width,.point,.interval
explicitIgnorance - factH,-0.2543670959776437,-0.6616467690868388,0.18411038918826036,0.95,mean,hdi
explicitIgnorance - factL,1.3858879434366218,0.8300311196819498,1.9436261263163273,0.95,mean,hdi
factL - factH,-1.6402550394142654,-2.2821041081648143,-0.9880829477007343,0.95,mean,hdi
