contrast,.value,.lower,.upper,.width,.point,.interval
explicitIgnorance - factH,0.16525266541021782,-0.2316183950292879,0.5758369244431444,0.95,mean,hdi
explicitIgnorance - factL,1.0062995162345691,0.5650945385312557,1.4564578048600352,0.95,mean,hdi
factL - factH,-0.8410468508243513,-1.3966150660611145,-0.3203712977837211,0.95,mean,hdi
