contrast,.value,.lower,.upper,.width,.point,.interval
explicitIgnorance - factH,-0.14216059598051206,-0.5799385082897972,0.3043129877002866,0.95,mean,hdi
explicitIgnorance - factL,0.7655866000449646,0.35961239221069957,1.1886711652788082,0.95,mean,hdi
factL - factH,-0.9077471960254766,-1.451877607208887,-0.3658572807133103,0.95,mean,hdi
