contrast,.value,.lower,.upper,.width,.point,.interval
explicitIgnorance - factH,-0.4150612226401537,-0.8840868363856372,0.09869134016660938,0.95,mean,hdi
explicitIgnorance - factL,0.7544100367199232,0.3048010552779364,1.1941386025703635,0.95,mean,hdi
factL - factH,-1.169471259360077,-1.7681523727324364,-0.5838988718882793,0.95,mean,hdi
