contrast,.value,.lower,.upper,.width,.point,.interval
explicitIgnorance - factH,-1.5761381279113653,-2.026210832790886,-1.1632800794849827,0.95,mean,hdi
explicitIgnorance - factL,-0.6094668928426569,-0.9983071912693828,-0.2040403361429372,0.95,mean,hdi
factL - factH,-0.9666712350687084,-1.5150492105756657,-0.46880513694271725,0.95,mean,hdi
